2012-10-16 23:01:30 status unpacked libpam-runtime:all 1.1.3-7ubuntu3
2012-10-16 23:01:30 install libpam0g:armhf <none> 1.1.3-7ubuntu3
2012-10-16 23:01:30 status half-installed libpam0g:armhf 1.1.3-7ubuntu3
2012-10-16 23:01:30 status unpacked libpam0g:armhf 1.1.3-7ubuntu3
2012-10-16 23:01:30 status unpacked libpam0g:armhf 1.1.3-7ubuntu3
2012-10-16 23:01:30 install libpcre3:armhf <none> 1:8.30-5ubuntu1
2012-10-16 23:01:30 status half-installed libpcre3:armhf 1:8.30-5ubuntu1
2012-10-16 23:01:31 status unpacked libpcre3:armhf 1:8.30-5ubuntu1
2012-10-16 23:01:31 status unpacked libpcre3:armhf 1:8.30-5ubuntu1
2012-10-16 23:01:31 install libplymouth2:armhf <none> 0.8.4-0ubuntu3
2012-10-16 23:01:31 status half-installed libplymouth2:armhf 0.8.4-0ubuntu3
2012-10-16 23:01:31 status unpacked libplymouth2:armhf 0.8.4-0ubuntu3
2012-10-16 23:01:31 status unpacked libplymouth2:armhf 0.8.4-0ubuntu3
2012-10-16 23:01:31 install libpng12-0:armhf <none> 1.2.49-1ubuntu1
2012-10-16 23:01:31 status half-installed libpng12-0:armhf 1.2.49-1ubuntu1
2012-10-16 23:01:31 status unpacked libpng12-0:armhf 1.2.49-1ubuntu1
2012-10-16 23:01:31 status unpacked libpng12-0:armhf 1.2.49-1ubuntu1
2012-10-16 23:01:31 install libprocps0:armhf <none> 1:3.3.3-2ubuntu3
2012-10-16 23:01:31 status half-installed libprocps0:armhf 1:3.3.3-2ubuntu3
2012-10-16 23:01:31 status unpacked libprocps0:armhf 1:3.3.3-2ubuntu3
2012-10-16 23:01:31 status unpacked libprocps0:armhf 1:3.3.3-2ubuntu3
2012-10-16 23:01:31 install libselinux1:armhf <none> 2.1.9-5ubuntu1
2012-10-16 23:01:31 status half-installed libselinux1:armhf 2.1.9-5ubuntu1
2012-10-16 23:01:31 status unpacked libselinux1:armhf 2.1.9-5ubuntu1
2012-10-16 23:01:31 status unpacked libselinux1:armhf 2.1.9-5ubuntu1
2012-10-16 23:01:31 install libslang2:armhf <none> 2.2.4-15ubuntu1
2012-10-16 23:01:31 status half-installed libslang2:armhf 2.2.4-15ubuntu1
2012-10-16 23:01:31 status unpacked libslang2:armhf 2.2.4-15ubuntu1
2012-10-16 23:01:31 status unpacked libslang2:armhf 2.2.4-15ubuntu1
2012-10-16 23:01:31 install libss2:armhf <none> 1.42.5-1ubuntu2
2012-10-16 23:01:31 status half-installed libss2:armhf 1.42.5-1ubuntu2
2012-10-16 23:01:31 status unpacked libss2:armhf 1.42.5-1ubuntu2
2012-10-16 23:01:31 status unpacked libss2:armhf 1.42.5-1ubuntu2
2012-10-16 23:01:31 install libtinfo5:armhf <none> 5.9-10ubuntu1
2012-10-16 23:01:31 status half-installed libtinfo5:armhf 5.9-10ubuntu1
2012-10-16 23:01:31 status unpacked libtinfo5:armhf 5.9-10ubuntu1
2012-10-16 23:01:31 status unpacked libtinfo5:armhf 5.9-10ubuntu1
2012-10-16 23:01:32 install libudev0:armhf <none> 175-0ubuntu13
2012-10-16 23:01:32 status half-installed libudev0:armhf 175-0ubuntu13
2012-10-16 23:01:32 status unpacked libudev0:armhf 175-0ubuntu13
2012-10-16 23:01:32 status unpacked libudev0:armhf 175-0ubuntu13
2012-10-16 23:01:32 install libuuid1:armhf <none> 2.20.1-5.1ubuntu2
2012-10-16 23:01:32 status half-installed libuuid1:armhf 2.20.1-5.1ubuntu2
2012-10-16 23:01:32 status unpacked libuuid1:armhf 2.20.1-5.1ubuntu2
2012-10-16 23:01:32 status unpacked libuuid1:armhf 2.20.1-5.1ubuntu2
2012-10-16 23:01:32 install locales:all <none> 2.13+git20120306-3
2012-10-16 23:01:32 status half-installed locales:all 2.13+git20120306-3
2012-10-16 23:01:33 status unpacked locales:all 2.13+git20120306-3
2012-10-16 23:01:33 status unpacked locales:all 2.13+git20120306-3
2012-10-16 23:01:33 install login:armhf <none> 1:4.1.4.2+svn3283-3ubuntu7
2012-10-16 23:01:33 status half-installed login:armhf 1:4.1.4.2+svn3283-3ubuntu7
2012-10-16 23:01:33 status unpacked login:armhf 1:4.1.4.2+svn3283-3ubuntu7
2012-10-16 23:01:33 status unpacked login:armhf 1:4.1.4.2+svn3283-3ubuntu7
2012-10-16 23:01:33 install lsb-base:all <none> 4.0-0ubuntu26
